Node,Betweenness
Football,0.13792984803661157
Sports Figures,0.12529280781914898
TV,0.11685201891727431
Coronavirus,0.10898681895611735
Academia,0.09016580175259323
Markets,0.07980280121932082
Basketball,0.06017152500735794
Movies,0.05459563920920884
Music,0.05399368939056552
Crime,0.050943267266167803
