Node,Closeness
Coronavirus,0.4487560192276591
Football,0.4445383874680006
Academia,0.4299898584235934
United Kingdom,0.41201118838497625
TV,0.40821822002239877
Basketball,0.4031154922721188
Texas,0.40083800361521416
Business Leaders,0.40038559051858297
Sports Figures,0.3985861047184995
Florida,0.3981387577996235
