Node1,Node2,Weight
Football,NFL,50.0
Crime,Murder,38.0
Reviews,Theater,35.0
Basketball,NBA,21.0
Baseball,MLB,18.0
Brexit,World Politics,16.0
Security,Security Breach,14.0
Hockey,NHL,13.0
Social Issues,Cannabis,11.0
Movies,Reviews,11.0
