Node1,Node2,Weight
Football,NFL,37.0
Basketball,NBA,20.0
Markets,NASDAQ,17.0
NASA,Space,14.0
Baseball,MLB,14.0
Security,Security Breach,13.0
IBM,Academia,12.0
Airlines,Aviation,12.0
Electronics,Apple,11.0
IBM,AI,10.0
