Node1,Node2,Weight
Football,NFL,97.0
Basketball,NBA,50.0
Crime,Murder,41.0
Reviews,Theater,37.0
Baseball,MLB,33.0
Tweets,Twitter,30.0
Security,Security Breach,27.0
Markets,NASDAQ,24.0
Hockey,NHL,24.0
Airlines,Aviation,22.0
