Node,Betweenness
Football,0.19170287812647563
Coronavirus,0.15475595588894464
Sports Figures,0.1431443656381338
TV,0.14046702065611236
Crime,0.10306143717981013
Social Issues,0.0880507157749822
Basketball,0.08225041537882079
Business Leaders,0.07030745372542054
Movies,0.06983735456347957
Markets,0.06979861036015367
