Node,Betweenness
Football,0.1973420844047387
Academia,0.1505921225712034
IBM,0.10489249204118725
Markets,0.10097581559637009
TV,0.09981420044471949
Sports Figures,0.08525129001450128
Movies,0.06879182520060674
AI,0.060912468371606486
Basketball,0.06004068347161007
United Kingdom,0.05648602852040813
