Node,Closeness
Football,0.42568707585017435
Coronavirus,0.42109460117295255
TV,0.39032230339492907
Russia-Ukraine War,0.3820926162751565
Olympics,0.3783885118668216
United Kingdom,0.3775438946528332
Social Issues,0.3761445473783601
Basketball,0.3753099071105087
Movies,0.37337674349772465
Academia,0.3731022017745646
