K-Core Level,Average Sentiment,Sentiment Std Dev,Number of Edges
9,-0.610909090909091,7.888165421630576,275
1,-0.09090909090909091,1.3111095547141778,11
3,-0.06,1.4752626884728022,50
4,-0.64,1.717672844286711,50
2,-0.5,1.1848401385191818,26
8,-0.18181818181818182,6.442003545577095,77
7,-0.2857142857142857,1.7129624522480904,63
6,-0.391304347826087,3.032277525941338,23
5,-0.3,1.5652475842498528,50
